Trial,num_turns,num_R,num_L,LLLL,LLLR,LLRL,LLRR,LRLL,LRLR,LRRL,LRRR,RLLL,RLLR,RLRL,RLRR,RRLL,RRLR,RRRL,RRRR,alternations,repetitions,Animal_Number,Group,anxiety_group
6,51,30,21,0,3.85,7.69,3.85,0,7.69,7.69,11.54,3.85,7.69,3.85,11.54,11.54,7.69,11.54,0,11.54,0,25,CTRL,Low Anxiety
1,170,80,90,4.69,4.69,7.03,5.47,7.81,10.94,5.47,3.91,3.91,10.16,13.28,3.91,6.25,4.69,3.91,3.91,24.22,8.59,26,CTRL,Low Anxiety
2,127,68,59,1.89,0.94,3.77,1.89,1.89,20.75,9.43,3.77,0.94,4.72,20.75,9.43,3.77,9.43,3.77,2.83,41.51,4.72,26,CTRL,Low Anxiety
3,130,71,59,0,0.98,2.94,0,2.94,35.29,2.94,1.96,0.98,1.96,37.25,3.92,0,3.92,0.98,3.92,72.55,3.92,26,CTRL,Low Anxiety
4,129,69,60,2.08,2.08,8.33,3.12,6.25,13.54,6.25,7.29,2.08,8.33,11.46,7.29,5.21,5.21,6.25,5.21,25,7.29,26,CTRL,Low Anxiety
5,91,50,41,0,3.33,5,3.33,1.67,13.33,8.33,6.67,3.33,6.67,13.33,8.33,6.67,6.67,6.67,6.67,26.67,6.67,26,CTRL,Low Anxiety
6,133,68,65,4.9,2.94,5.88,0.98,5.88,15.69,5.88,4.9,3.92,4.9,15.69,7.84,2.94,7.84,5.88,3.92,31.37,8.82,26,CTRL,Low Anxiety
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,CTRL,Low Anxiety
2,98,48,50,2.3,4.6,6.9,5.75,8.05,11.49,8.05,3.45,5.75,8.05,11.49,8.05,4.6,6.9,3.45,1.15,22.99,3.45,27,CTRL,Low Anxiety
3,90,42,48,5.71,4.29,10,1.43,8.57,18.57,4.29,2.86,4.29,7.14,18.57,7.14,2.86,2.86,1.43,0,37.14,5.71,27,CTRL,Low Anxiety
4,83,36,47,2.99,5.97,10.45,1.49,7.46,19.4,2.99,4.48,5.97,4.48,17.91,2.99,5.97,1.49,4.48,1.49,37.31,4.48,27,CTRL,Low Anxiety
5,68,36,32,1.75,1.75,5.26,5.26,5.26,17.54,8.77,1.75,1.75,8.77,19.3,5.26,1.75,8.77,1.75,5.26,36.84,7.02,27,CTRL,Low Anxiety
6,77,36,41,0,0,9.26,3.7,9.26,22.22,9.26,0,0,12.96,22.22,3.7,3.7,3.7,0,0,44.44,0,27,CTRL,Low Anxiety
1,75,41,34,0,1.47,4.41,2.94,1.47,23.53,7.35,5.88,1.47,4.41,20.59,10.29,4.41,7.35,4.41,0,44.12,0,28,CTRL,Low Anxiety
2,52,32,20,0,0,0,0,0,22.22,6.67,6.67,0,0,26.67,13.33,0,15.56,6.67,2.22,48.89,2.22,28,CTRL,Low Anxiety
3,54,30,24,0,0,0,2.56,0,28.21,12.82,2.56,0,2.56,25.64,10.26,2.56,10.26,2.56,0,53.85,0,28,CTRL,Low Anxiety
4,44,20,24,0,5.41,10.81,5.41,10.81,10.81,8.11,2.7,5.41,10.81,8.11,5.41,8.11,2.7,2.7,2.7,18.92,2.7,28,CTRL,Low Anxiety
5,45,18,27,15.79,5.26,5.26,2.63,5.26,15.79,5.26,2.63,7.89,2.63,15.79,5.26,5.26,2.63,2.63,0,31.58,15.79,28,CTRL,Low Anxiety
6,54,19,35,4.55,11.36,15.91,2.27,18.18,11.36,2.27,0,11.36,6.82,13.64,0,2.27,0,0,0,25,4.55,28,CTRL,Low Anxiety
1,120,61,59,2.68,4.46,8.04,1.79,5.36,18.75,3.57,4.46,4.46,5.36,16.96,5.36,4.46,3.57,5.36,5.36,35.71,8.04,30,CTRL,Low Anxiety
2,100,45,55,8.06,4.84,4.84,3.23,4.84,24.19,6.45,1.61,4.84,3.23,24.19,0,4.84,1.61,1.61,1.61,48.39,9.68,30,CTRL,Low Anxiety
3,94,48,46,5.56,5.56,8.33,2.78,2.78,11.11,5.56,8.33,2.78,5.56,5.56,8.33,11.11,5.56,5.56,5.56,16.67,11.11,30,CTRL,Low Anxiety
4,115,49,66,9.38,7.81,7.81,1.56,4.69,15.62,6.25,3.12,6.25,3.12,10.94,7.81,6.25,4.69,4.69,0,26.56,9.38,30,CTRL,Low Anxiety
5,82,39,43,12,0,4,8,4,4,8,12,4,0,4,8,4,8,12,8,8,20,30,CTRL,Low Anxiety
6,79,34,45,5.56,11.11,5.56,5.56,5.56,0,11.11,0,11.11,0,5.56,11.11,11.11,5.56,5.56,5.56,5.56,11.11,30,CTRL,Low Anxiety
1,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,CAS,High Anxiety
2,101,44,57,8.47,8.47,8.47,3.39,8.47,15.25,0,5.08,6.78,1.69,16.95,1.69,5.08,1.69,6.78,1.69,32.2,10.17,31,CAS,High Anxiety
3,128,70,58,2.74,2.74,2.74,4.11,6.85,17.81,5.48,2.74,4.11,4.11,24.66,4.11,1.37,6.85,4.11,5.48,42.47,8.22,31,CAS,High Anxiety
4,136,57,79,13.85,6.15,12.31,0,3.08,13.85,6.15,4.62,6.15,6.15,9.23,4.62,6.15,3.08,4.62,0,23.08,13.85,31,CAS,High Anxiety
5,116,56,60,3.03,9.09,6.06,6.06,3.03,18.18,6.06,3.03,9.09,3.03,12.12,3.03,0,12.12,3.03,3.03,30.3,6.06,31,CAS,High Anxiety
6,126,63,63,2.13,4.26,0,2.13,4.26,29.79,0,2.13,0,2.13,48.94,0,0,2.13,2.13,0,78.72,2.13,31,CAS,High Anxiety
1,67,35,32,8.33,8.33,4.17,6.25,2.08,6.25,6.25,8.33,6.25,4.17,4.17,8.33,10.42,4.17,8.33,4.17,10.42,12.5,32,CAS,Low Anxiety
2,109,58,51,10.84,4.82,1.2,9.64,2.41,2.41,7.23,9.64,6.02,6.02,3.61,6.02,8.43,7.23,7.23,7.23,6.02,18.07,32,CAS,Low Anxiety
